*DESCRIPTION
*MEANS REPORT
************DESCRIPTION************
"File generated on","2022-03-25"
"",""
"NAPS Means Datafile",""
"",""
"Units:",""
"SO2 NO2 O3 NO and NOx are ppb",""
"CO is ppm",""
"PM10 and PM2.5 are in ug/m3",""
"",""
"Reporting criteria:",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
************MEANS REPORT************
"NAPS ID","City","Location","Latitude","Longitude","Elevation","LandUse","Pollutant","January","February","March","April","May","June","July","August","September","October","November","December","Average","StdDeviation","%Complete"
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","NO2","3","4","1","2","2","2","4","3","2","2","1","2","2","3","100"
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","NOX","4","4","1","2","3","3","5","4","3","3","2","3","3","5","100"
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","O3","33","33","32","37","34","29","23","24","22","20","24","27","28","9","99"
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","PM2.5","6","5","4","5","6","6","6","8","4","4","4","5","5","3","100"
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","SO2","0.6","0.8","0.4","2.7","4.1","4","4.4","3.6","2.3","0.3","0.2","0.4","2","5.1","100"
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","NO","2","1","1","1","1","1","1","1","1","2","1","3","1","3","98"
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","NO2","5","4","2","2","2","3","3","2","2","3","3","6","3","4","98"
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","NOX","6","5","2","2","3","4","4","3","3","4","5","8","4","6","98"
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","O3","34","35","38","38","32","28","24","25","23","24","27","29","30","9","100"
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","PM2.5","7","7","5","6","6","6","5","7","3","5","7","7","6","4","98"
"040207","Saint John","476 Lancaster Avenue W.","45.252898","-66.080065","59","PS,MU,P3,R","SO2","1.1","0.7","0.9","0.5","0.3","0.8","0.2","0.3","0.3","0.9","1.1","2.5","0.8","2.4","99"
"040208","Saint John","111 Champlain Drive","45.291218","-66.00305","47","PS,MU,P3,R","PM2.5","2","","","4","5","6","5","7","4","4","4","5","","","79"
"040208","Saint John","111 Champlain Drive","45.291218","-66.00305","47","PS,MU,P3,R","SO2","1.9","1.3","0.4","1.5","1.1","0.4","0.3","0.5","1.1","0.4","2","1.4","1","4.4","100"
